Panel,Evaluator,Dimension,Parameter,Posterior_mean,HDI_low,HDI_high,P_above_zero,P_in_ROPE
source_effect,Human,Novelty,mu_LLM,0.07203001517,-0.08115231306,0.2215411317,0.8275,0.633375
tie_probability,Human,Novelty,tie_probability,0.1650553612,0.1451522002,0.1847965062,,
source_effect,Human,Significance,mu_LLM,0.0419540495,-0.1020774801,0.1871810399,0.716,0.757625
tie_probability,Human,Significance,tie_probability,0.2023218111,0.1810822514,0.2243692885,,
source_effect,Human,Testability,mu_LLM,-0.03156794959,-0.1813531926,0.1383735841,0.353375,0.75025
tie_probability,Human,Testability,tie_probability,0.2347948152,0.2128199339,0.2578253153,,
source_effect,Claude,Novelty,mu_LLM,4.155452105,3.684999632,4.646303786,1,0
tie_probability,Claude,Novelty,tie_probability,0.03250191805,0.01900539918,0.04732826035,,
source_effect,Claude,Significance,mu_LLM,1.41836988,1.255188062,1.589056677,1,0
tie_probability,Claude,Significance,tie_probability,0.004314984031,0.001361861777,0.007778780511,,
source_effect,Claude,Testability,mu_LLM,-0.9060982241,-1.056983045,-0.7601684186,0,0
tie_probability,Claude,Testability,tie_probability,0.003944273494,0.001202313113,0.007013136331,,
source_effect,Gemini,Novelty,mu_LLM,4.513974216,3.996955809,5.082039384,1,0
tie_probability,Gemini,Novelty,tie_probability,0.03326270418,0.0188140268,0.04905992953,,
source_effect,Gemini,Significance,mu_LLM,3.470730261,3.10032185,3.834817627,1,0
tie_probability,Gemini,Significance,tie_probability,0.009368665244,0.003389967655,0.01617382681,,
source_effect,Gemini,Testability,mu_LLM,-0.57115029,-0.7176510018,-0.419592259,0,0
tie_probability,Gemini,Testability,tie_probability,0.03723470492,0.02758453587,0.04773968022,,
source_effect,GPT,Novelty,mu_LLM,3.863077054,3.460054563,4.308815156,1,0
tie_probability,GPT,Novelty,tie_probability,0.01021991683,0.00359531583,0.01828720403,,
source_effect,GPT,Significance,mu_LLM,1.560678693,1.388053193,1.738319586,1,0
tie_probability,GPT,Significance,tie_probability,0.004438309375,0.001392076376,0.00818521605,,
source_effect,GPT,Testability,mu_LLM,-0.7647735898,-0.9014505623,-0.6194149385,0,0
tie_probability,GPT,Testability,tie_probability,0.003892624722,0.001193426405,0.007187880308,,
difference_from_human,Claude,Novelty,delta_mu_vs_human,4.084653739,3.583819238,4.590939498,1,0
difference_from_human,Claude,Significance,delta_mu_vs_human,1.376383552,1.154695269,1.596386619,1,0
difference_from_human,Claude,Testability,delta_mu_vs_human,-0.8745844803,-1.0964923,-0.658345892,0,0
difference_from_human,Gemini,Novelty,delta_mu_vs_human,4.443627815,3.887039672,5.018029067,1,0
difference_from_human,Gemini,Significance,delta_mu_vs_human,3.429331345,3.039497968,3.831532317,1,0
difference_from_human,Gemini,Testability,delta_mu_vs_human,-0.5401966927,-0.7565070383,-0.3221408407,0,5e-05
difference_from_human,GPT,Novelty,delta_mu_vs_human,3.789331015,3.350549868,4.25283719,1,0
difference_from_human,GPT,Significance,delta_mu_vs_human,1.518594428,1.291778151,1.745495471,1,0
difference_from_human,GPT,Testability,delta_mu_vs_human,-0.7328518841,-0.9464547274,-0.5187249267,0,0
