dataset,dimension,mu_LLM_mean,mu_LLM_q2.5,mu_LLM_q97.5,P_mu_gt_0,P_mu_lt_0,P_mu_in_ROPE,sigma_LLM_mean,sigma_LLM_q2.5,sigma_LLM_q97.5,tie_logit_mean,tie_logit_q2.5,tie_logit_q97.5
human,Novelty,0.07203001517154309,-0.07810492551259925,0.22523563310677505,0.8275,0.1725,0.633375,0.17613352767933332,0.010737071351340376,0.3923578516016936,-0.9297633113743944,-1.076908585782412,-0.7873842349584061
human,Significance,0.0419540494955233,-0.10421283436275319,0.18604460061864897,0.716,0.284,0.757625,0.1178290310047341,0.004712200233494184,0.3108610895114173,-0.6801133983575949,-0.8141087418760729,-0.5450202608895717
human,Testability,-0.03156794958606882,-0.19529350871386086,0.124880989463461,0.353375,0.646625,0.75025,0.2193417463460341,0.015595334425402344,0.44861102042557893,-0.4893727973089987,-0.6165821175844765,-0.36529993219692625
claude,Novelty,4.155452104765123,3.6962184525940476,4.659089675975457,1.0,0.0,0.0,0.3130911333678488,0.010079044961989045,0.8925107158926093,-2.7264984995153685,-3.2121398189672146,-2.283525210065027
claude,Significance,1.4183698797003237,1.257556629957791,1.5923818660257996,1.0,0.0,0.0,0.17614887518108543,0.008541753132884735,0.4225789944401259,-4.831023776252678,-5.702060593534544,-4.0808054419586
claude,Testability,-0.9060982241097674,-1.056964318109548,-0.7601641114231663,0.0,1.0,0.0,0.17096782627451246,0.00852607330701932,0.38899843628427067,-4.91817382151538,-5.774837875997888,-4.185741961066341
gemini-3.5-flash-thinking,Novelty,4.513974215521284,4.001446175536887,5.0872705324503285,1.0,0.0,0.0,0.35036954691690964,0.015049904714738917,0.9982328974070375,-2.7045751919128906,-3.225505836013951,-2.2470998667367295
gemini-3.5-flash-thinking,Significance,3.4707302609953543,3.1189288993924174,3.857983585117826,1.0,0.0,0.0,0.30675337068818614,0.015824760349361786,0.8249260640260716,-4.036668410698809,-4.8284679637793735,-3.353727470210682
gemini-3.5-flash-thinking,Testability,-0.5711502899674807,-0.7233103885388635,-0.4236311858052668,0.0,1.0,0.0,0.17174848093710993,0.010968741180205613,0.38553687240205925,-2.5692136988931393,-2.862414863164323,-2.2920238542127893
gpt-5.5,Novelty,3.863077053749041,3.461403116241175,4.3126032897206406,1.0,0.0,0.0,0.24778881947448306,0.009536584791545451,0.7201499434487298,-3.953958577384752,-4.77529842243665,-3.225437836214398
gpt-5.5,Significance,1.56067869316891,1.3887048876743444,1.7393138859589077,1.0,0.0,0.0,0.1909704380413059,0.009374197913630746,0.447951419844492,-4.807445260969229,-5.723304425328222,-4.035070306837113
gpt-5.5,Testability,-0.7647735898405148,-0.9080902664110931,-0.6257201266102421,0.0,1.0,0.0,0.13711985824777279,0.006436225099063888,0.3359507632911146,-4.939984111240002,-5.842147374637222,-4.164832285073698
