n,exact_agreement,cohen_kappa,gwet_ac1,gwet_ac2_quadratic,human_tie_rate,llm_tie_rate,tie_rate_diff_llm_minus_human,hum_vs_llm_n,human_prefers_llm_rate_in_hum_vs_llm,llm_prefers_llm_rate_in_hum_vs_llm,model,Dimension,pair_type
1080,0.43796296296296294,0.030185039439970064,0.2140955928344785,0.03736764131390452,0.15925925925925927,0.0,-0.15925925925925927,1080,0.5176211453744494,0.9833333333333333,claude,Novelty,HUM-vs-LLM
1080,0.4,-0.0030959752321981938,0.15272376838404433,-0.004110594382060854,0.1962962962962963,0.0,-0.1962962962962963,1080,0.5103686635944701,0.8037037037037037,claude,Significance,HUM-vs-LLM
1080,0.37777777777777777,-0.004640037208890311,0.11329805511648681,-0.010830641187099393,0.2361111111111111,0.0,-0.2361111111111111,1080,0.4921212121212121,0.28888888888888886,claude,Testability,HUM-vs-LLM
135,0.34814814814814815,-0.05300478638539263,0.059214824493674656,-0.06333527019174874,0.18518518518518517,0.1111111111111111,-0.07407407407407407,0,,,claude,Novelty,HUM-vs-HUM
135,0.37037037037037035,-0.029147982062780256,0.10526315789473684,-0.0416666666666666,0.2222222222222222,0.0,-0.2222222222222222,0,,,claude,Significance,HUM-vs-HUM
135,0.5185185185185185,0.1910951327433628,0.3215555899180454,0.25118858954041223,0.1925925925925926,0.0,-0.1925925925925926,0,,,claude,Testability,HUM-vs-HUM
135,0.45185185185185184,0.06957250628667228,0.22956793336803744,0.08943089430894287,0.17777777777777778,0.0,-0.17777777777777778,0,,,claude,Novelty,LLM-vs-LLM
135,0.37037037037037035,-0.051112943116240754,0.1196946740568842,-0.09870434273064611,0.2222222222222222,0.0,-0.2222222222222222,0,,,claude,Significance,LLM-vs-LLM
135,0.37777777777777777,0.007266042195570352,0.11366434140336479,-0.005730659025787887,0.2518518518518518,0.0,-0.2518518518518518,0,,,claude,Testability,LLM-vs-LLM
1080,0.4388888888888889,0.03194888178913733,0.21536210886419146,0.0394889803939485,0.15925925925925927,0.0,-0.15925925925925927,1080,0.5176211453744494,0.9888888888888889,gemini,Novelty,HUM-vs-LLM
1080,0.41759259259259257,0.026625514757086157,0.1773767713564073,0.035950684708707055,0.1962962962962963,0.000925925925925926,-0.1953703703703704,1080,0.5103686635944701,0.9703429101019463,gemini,Significance,HUM-vs-LLM
1080,0.3925925925925926,0.020818389508294698,0.13048147342447483,0.0037058322268685995,0.2361111111111111,0.025,-0.2111111111111111,1080,0.4921212121212121,0.3627730294396961,gemini,Testability,HUM-vs-LLM
135,0.4148148148148148,0.05064981306747367,0.15613316717108777,0.034492711791023124,0.18518518518518517,0.1037037037037037,-0.08148148148148147,0,,,gemini,Novelty,HUM-vs-HUM
135,0.31851851851851853,-0.11140939597315437,0.029895920798265984,-0.15064544623347617,0.2222222222222222,0.007407407407407408,-0.2148148148148148,0,,,gemini,Significance,HUM-vs-HUM
135,0.45185185185185184,0.12114014251781471,0.20434860522071555,0.2193968066232995,0.1925925925925926,0.13333333333333333,-0.05925925925925926,0,,,gemini,Testability,HUM-vs-HUM
135,0.4222222222222222,0.02119353039598433,0.18868942137298714,0.021502778448900937,0.17777777777777778,0.0,-0.17777777777777778,0,,,gemini,Novelty,LLM-vs-LLM
135,0.4444444444444444,0.08759124087591243,0.2117708880714661,0.12060301507537692,0.2222222222222222,0.0,-0.2222222222222222,0,,,gemini,Significance,LLM-vs-LLM
135,0.3851851851851852,0.019256017505470544,0.11891328707071104,0.03402732903591848,0.2518518518518518,0.007407407407407408,-0.2444444444444444,0,,,gemini,Testability,LLM-vs-LLM
1080,0.44166666666666665,0.036823843653218766,0.219233116293791,0.04558064612355708,0.15925925925925927,0.0,-0.15925925925925927,1080,0.5176211453744494,0.9805555555555555,gpt,Novelty,HUM-vs-LLM
1080,0.40555555555555556,0.006191950464396295,0.16151223112107044,0.004692811193294426,0.1962962962962963,0.0,-0.1962962962962963,1080,0.5103686635944701,0.825,gpt,Significance,HUM-vs-LLM
1080,0.3787037037037037,-0.003709130999637086,0.11438654421880522,-0.007890159755735314,0.2361111111111111,0.0,-0.2361111111111111,1080,0.4921212121212121,0.31851851851851853,gpt,Testability,HUM-vs-LLM
135,0.4,-0.00672067759160376,0.15198045716279884,-0.0001371930305939576,0.18518518518518517,0.014814814814814815,-0.17037037037037037,0,,,gpt,Novelty,HUM-vs-HUM
135,0.37037037037037035,-0.03378378378378381,0.1070038910505836,-0.04813664596273265,0.2222222222222222,0.0,-0.2222222222222222,0,,,gpt,Significance,HUM-vs-HUM
135,0.4740740740740741,0.11740331491712709,0.25824175824175827,0.15491673757141103,0.1925925925925926,0.0,-0.1925925925925926,0,,,gpt,Testability,HUM-vs-HUM
135,0.45185185185185184,0.06879194630872482,0.2297015961138098,0.08893709327548795,0.17777777777777778,0.0,-0.17777777777777778,0,,,gpt,Novelty,LLM-vs-LLM
135,0.4,0.0032813781788351222,0.15607092554361462,-0.007912704996490352,0.2222222222222222,0.0,-0.2222222222222222,0,,,gpt,Significance,LLM-vs-LLM
135,0.3925925925925926,0.03039327318910394,0.13232614190817701,0.037478705281090444,0.2518518518518518,0.0,-0.2518518518518518,0,,,gpt,Testability,LLM-vs-LLM
