Dimension,hypothesis_id,hypothesis_type,human_mean_score,human_n,llm_mean_score,llm_n,model
Novelty,HUM_01,HUM,0.5,30,0.016666666666666666,30,claude
Novelty,HUM_02,HUM,0.5833333333333334,30,0.05,30,claude
Novelty,HUM_03,HUM,0.4166666666666667,30,0.016666666666666666,30,claude
Novelty,HUM_04,HUM,0.38333333333333336,30,0.0,30,claude
Novelty,HUM_05,HUM,0.5333333333333333,30,0.016666666666666666,30,claude
Novelty,HUM_06,HUM,0.5,30,0.13333333333333333,30,claude
Novelty,HUM_07,HUM,0.4,30,0.13333333333333333,30,claude
Novelty,HUM_08,HUM,0.5333333333333333,30,0.03333333333333333,30,claude
Novelty,HUM_09,HUM,0.5166666666666667,30,0.016666666666666666,30,claude
Novelty,HUM_10,HUM,0.45,30,0.0,30,claude
Novelty,HUM_11,HUM,0.4166666666666667,30,0.21666666666666667,30,claude
Novelty,HUM_12,HUM,0.38333333333333336,30,0.2,30,claude
Novelty,HUM_13,HUM,0.5,30,0.23333333333333334,30,claude
Novelty,HUM_14,HUM,0.4,30,0.18333333333333332,30,claude
Novelty,HUM_15,HUM,0.6,30,0.26666666666666666,30,claude
Novelty,HUM_16,HUM,0.5,30,0.06666666666666667,30,claude
Novelty,HUM_17,HUM,0.45,30,0.06666666666666667,30,claude
Novelty,HUM_18,HUM,0.5166666666666667,30,0.26666666666666666,30,claude
Novelty,HUM_19,HUM,0.5166666666666667,30,0.16666666666666666,30,claude
Novelty,HUM_20,HUM,0.5166666666666667,30,0.2,30,claude
Novelty,HUM_21,HUM,0.4,30,0.1,30,claude
Novelty,HUM_22,HUM,0.55,30,0.06666666666666667,30,claude
Novelty,HUM_23,HUM,0.4,30,0.2,30,claude
Novelty,HUM_24,HUM,0.4666666666666667,30,0.05,30,claude
Novelty,HUM_25,HUM,0.38333333333333336,30,0.03333333333333333,30,claude
Novelty,HUM_26,HUM,0.5833333333333334,30,0.016666666666666666,30,claude
Novelty,HUM_27,HUM,0.5,30,0.016666666666666666,30,claude
Novelty,HUM_28,HUM,0.5166666666666667,30,0.0,30,claude
Novelty,HUM_29,HUM,0.6,30,0.05,30,claude
Novelty,HUM_30,HUM,0.4666666666666667,30,0.0,30,claude
Novelty,HUM_31,HUM,0.45,30,0.15,30,claude
Novelty,HUM_32,HUM,0.5833333333333334,30,0.3333333333333333,30,claude
Novelty,HUM_33,HUM,0.5166666666666667,30,0.26666666666666666,30,claude
Novelty,HUM_34,HUM,0.5,30,0.2,30,claude
Novelty,HUM_35,HUM,0.5166666666666667,30,0.06666666666666667,30,claude
Novelty,HUM_36,HUM,0.4166666666666667,30,0.06666666666666667,30,claude
Novelty,HUM_37,HUM,0.5166666666666667,30,0.03333333333333333,30,claude
Novelty,HUM_38,HUM,0.48333333333333334,30,0.16666666666666666,30,claude
Novelty,HUM_39,HUM,0.5333333333333333,30,0.16666666666666666,30,claude
Novelty,HUM_40,HUM,0.65,30,0.3,30,claude
Novelty,HUM_41,HUM,0.4166666666666667,30,0.1,30,claude
Novelty,HUM_42,HUM,0.4166666666666667,30,0.2,30,claude
Novelty,HUM_43,HUM,0.4666666666666667,30,0.05,30,claude
Novelty,HUM_44,HUM,0.43333333333333335,30,0.13333333333333333,30,claude
Novelty,HUM_45,HUM,0.5833333333333334,30,0.05,30,claude
Novelty,LLM_01,LLM,0.4166666666666667,30,0.9666666666666667,30,claude
Novelty,LLM_02,LLM,0.43333333333333335,30,0.7666666666666667,30,claude
Novelty,LLM_03,LLM,0.48333333333333334,30,0.8333333333333334,30,claude
Novelty,LLM_04,LLM,0.4666666666666667,30,0.7333333333333333,30,claude
Novelty,LLM_05,LLM,0.4166666666666667,30,0.9333333333333333,30,claude
Novelty,LLM_06,LLM,0.45,30,0.8666666666666667,30,claude
Novelty,LLM_07,LLM,0.7,30,0.8666666666666667,30,claude
Novelty,LLM_08,LLM,0.6166666666666667,30,0.9333333333333333,30,claude
Novelty,LLM_09,LLM,0.5,30,0.9666666666666667,30,claude
Novelty,LLM_10,LLM,0.55,30,0.6333333333333333,30,claude
Novelty,LLM_11,LLM,0.5,30,0.7666666666666667,30,claude
Novelty,LLM_12,LLM,0.55,30,0.8666666666666667,30,claude
Novelty,LLM_13,LLM,0.55,30,0.9666666666666667,30,claude
Novelty,LLM_14,LLM,0.4166666666666667,30,0.7,30,claude
Novelty,LLM_15,LLM,0.45,30,0.9666666666666667,30,claude
Novelty,LLM_16,LLM,0.4,30,0.9666666666666667,30,claude
Novelty,LLM_17,LLM,0.5166666666666667,30,0.9,30,claude
Novelty,LLM_18,LLM,0.48333333333333334,30,0.9,30,claude
Novelty,LLM_19,LLM,0.55,30,0.9666666666666667,30,claude
Novelty,LLM_20,LLM,0.65,30,1.0,30,claude
Novelty,LLM_21,LLM,0.4,30,1.0,30,claude
Novelty,LLM_22,LLM,0.4166666666666667,30,0.8333333333333334,30,claude
Novelty,LLM_23,LLM,0.4166666666666667,30,0.7666666666666667,30,claude
Novelty,LLM_24,LLM,0.55,30,0.9333333333333333,30,claude
Novelty,LLM_25,LLM,0.5666666666666667,30,0.7333333333333333,30,claude
Novelty,LLM_26,LLM,0.6166666666666667,30,0.8666666666666667,30,claude
Novelty,LLM_27,LLM,0.6333333333333333,30,0.9666666666666667,30,claude
Novelty,LLM_28,LLM,0.5833333333333334,30,0.9333333333333333,30,claude
Novelty,LLM_29,LLM,0.4666666666666667,30,1.0,30,claude
Novelty,LLM_30,LLM,0.5333333333333333,30,0.9,30,claude
Novelty,LLM_31,LLM,0.4666666666666667,30,0.8666666666666667,30,claude
Novelty,LLM_32,LLM,0.5333333333333333,30,0.8666666666666667,30,claude
Novelty,LLM_33,LLM,0.48333333333333334,30,0.7666666666666667,30,claude
Novelty,LLM_34,LLM,0.6166666666666667,30,0.8666666666666667,30,claude
Novelty,LLM_35,LLM,0.5,30,1.0,30,claude
Novelty,LLM_36,LLM,0.48333333333333334,30,0.9,30,claude
Novelty,LLM_37,LLM,0.3333333333333333,30,0.8,30,claude
Novelty,LLM_38,LLM,0.4166666666666667,30,0.9,30,claude
Novelty,LLM_39,LLM,0.5833333333333334,30,0.9666666666666667,30,claude
Novelty,LLM_40,LLM,0.5166666666666667,30,0.9333333333333333,30,claude
Novelty,LLM_41,LLM,0.5666666666666667,30,0.9,30,claude
Novelty,LLM_42,LLM,0.75,30,1.0,30,claude
Novelty,LLM_43,LLM,0.48333333333333334,30,0.9,30,claude
Novelty,LLM_44,LLM,0.5833333333333334,30,0.8333333333333334,30,claude
Novelty,LLM_45,LLM,0.43333333333333335,30,0.9666666666666667,30,claude
Significance,HUM_01,HUM,0.5833333333333334,30,0.26666666666666666,30,claude
Significance,HUM_02,HUM,0.5333333333333333,30,0.13333333333333333,30,claude
Significance,HUM_03,HUM,0.6166666666666667,30,0.06666666666666667,30,claude
Significance,HUM_04,HUM,0.5,30,0.0,30,claude
Significance,HUM_05,HUM,0.55,30,0.0,30,claude
Significance,HUM_06,HUM,0.6333333333333333,30,0.36666666666666664,30,claude
Significance,HUM_07,HUM,0.5333333333333333,30,0.36666666666666664,30,claude
Significance,HUM_08,HUM,0.55,30,0.06666666666666667,30,claude
Significance,HUM_09,HUM,0.36666666666666664,30,0.03333333333333333,30,claude
Significance,HUM_10,HUM,0.38333333333333336,30,0.03333333333333333,30,claude
Significance,HUM_11,HUM,0.45,30,0.43333333333333335,30,claude
Significance,HUM_12,HUM,0.38333333333333336,30,0.4666666666666667,30,claude
Significance,HUM_13,HUM,0.48333333333333334,30,0.7,30,claude
Significance,HUM_14,HUM,0.48333333333333334,30,0.06666666666666667,30,claude
Significance,HUM_15,HUM,0.5,30,0.8333333333333334,30,claude
Significance,HUM_16,HUM,0.5833333333333334,30,0.2,30,claude
Significance,HUM_17,HUM,0.45,30,0.23333333333333334,30,claude
Significance,HUM_18,HUM,0.5,30,0.43333333333333335,30,claude
Significance,HUM_19,HUM,0.4166666666666667,30,0.5666666666666667,30,claude
Significance,HUM_20,HUM,0.45,30,0.5,30,claude
Significance,HUM_21,HUM,0.45,30,0.23333333333333334,30,claude
Significance,HUM_22,HUM,0.5666666666666667,30,0.06666666666666667,30,claude
Significance,HUM_23,HUM,0.5,30,0.7333333333333333,30,claude
Significance,HUM_24,HUM,0.45,30,0.1,30,claude
Significance,HUM_25,HUM,0.45,30,0.06666666666666667,30,claude
Significance,HUM_26,HUM,0.5833333333333334,30,0.1,30,claude
Significance,HUM_27,HUM,0.5,30,0.03333333333333333,30,claude
Significance,HUM_28,HUM,0.5166666666666667,30,0.2,30,claude
Significance,HUM_29,HUM,0.55,30,0.03333333333333333,30,claude
Significance,HUM_30,HUM,0.48333333333333334,30,0.0,30,claude
Significance,HUM_31,HUM,0.48333333333333334,30,0.1,30,claude
Significance,HUM_32,HUM,0.38333333333333336,30,0.8333333333333334,30,claude
Significance,HUM_33,HUM,0.5166666666666667,30,0.26666666666666666,30,claude
Significance,HUM_34,HUM,0.4666666666666667,30,0.23333333333333334,30,claude
Significance,HUM_35,HUM,0.45,30,0.3333333333333333,30,claude
Significance,HUM_36,HUM,0.4,30,0.16666666666666666,30,claude
Significance,HUM_37,HUM,0.45,30,0.23333333333333334,30,claude
Significance,HUM_38,HUM,0.4166666666666667,30,0.4666666666666667,30,claude
Significance,HUM_39,HUM,0.43333333333333335,30,0.2,30,claude
Significance,HUM_40,HUM,0.5833333333333334,30,0.8333333333333334,30,claude
Significance,HUM_41,HUM,0.5,30,0.1,30,claude
Significance,HUM_42,HUM,0.5166666666666667,30,0.06666666666666667,30,claude
Significance,HUM_43,HUM,0.4,30,0.1,30,claude
Significance,HUM_44,HUM,0.5833333333333334,30,0.23333333333333334,30,claude
Significance,HUM_45,HUM,0.6166666666666667,30,0.06666666666666667,30,claude
Significance,LLM_01,LLM,0.5166666666666667,30,0.8666666666666667,30,claude
Significance,LLM_02,LLM,0.4,30,0.36666666666666664,30,claude
Significance,LLM_03,LLM,0.5333333333333333,30,0.9666666666666667,30,claude
Significance,LLM_04,LLM,0.5666666666666667,30,0.6,30,claude
Significance,LLM_05,LLM,0.4166666666666667,30,0.9,30,claude
Significance,LLM_06,LLM,0.5333333333333333,30,0.8666666666666667,30,claude
Significance,LLM_07,LLM,0.65,30,0.9666666666666667,30,claude
Significance,LLM_08,LLM,0.5666666666666667,30,0.6333333333333333,30,claude
Significance,LLM_09,LLM,0.5,30,0.9,30,claude
Significance,LLM_10,LLM,0.5666666666666667,30,0.5333333333333333,30,claude
Significance,LLM_11,LLM,0.45,30,0.7,30,claude
Significance,LLM_12,LLM,0.5833333333333334,30,0.8666666666666667,30,claude
Significance,LLM_13,LLM,0.5166666666666667,30,0.8666666666666667,30,claude
Significance,LLM_14,LLM,0.55,30,0.6,30,claude
Significance,LLM_15,LLM,0.26666666666666666,30,0.9666666666666667,30,claude
Significance,LLM_16,LLM,0.45,30,0.3333333333333333,30,claude
Significance,LLM_17,LLM,0.5166666666666667,30,0.8,30,claude
Significance,LLM_18,LLM,0.48333333333333334,30,0.5333333333333333,30,claude
Significance,LLM_19,LLM,0.7166666666666667,30,0.8666666666666667,30,claude
Significance,LLM_20,LLM,0.5666666666666667,30,0.8,30,claude
Significance,LLM_21,LLM,0.5166666666666667,30,0.6333333333333333,30,claude
Significance,LLM_22,LLM,0.48333333333333334,30,1.0,30,claude
Significance,LLM_23,LLM,0.36666666666666664,30,0.8666666666666667,30,claude
Significance,LLM_24,LLM,0.4666666666666667,30,1.0,30,claude
Significance,LLM_25,LLM,0.5333333333333333,30,0.3333333333333333,30,claude
Significance,LLM_26,LLM,0.5166666666666667,30,0.9666666666666667,30,claude
Significance,LLM_27,LLM,0.45,30,0.9666666666666667,30,claude
Significance,LLM_28,LLM,0.6,30,0.9666666666666667,30,claude
Significance,LLM_29,LLM,0.5166666666666667,30,0.5,30,claude
Significance,LLM_30,LLM,0.6333333333333333,30,0.1,30,claude
Significance,LLM_31,LLM,0.43333333333333335,30,0.9666666666666667,30,claude
Significance,LLM_32,LLM,0.5333333333333333,30,0.9666666666666667,30,claude
Significance,LLM_33,LLM,0.43333333333333335,30,0.8666666666666667,30,claude
Significance,LLM_34,LLM,0.48333333333333334,30,0.6,30,claude
Significance,LLM_35,LLM,0.5666666666666667,30,0.5333333333333333,30,claude
Significance,LLM_36,LLM,0.5166666666666667,30,0.9333333333333333,30,claude
Significance,LLM_37,LLM,0.36666666666666664,30,0.6333333333333333,30,claude
Significance,LLM_38,LLM,0.45,30,0.6666666666666666,30,claude
Significance,LLM_39,LLM,0.6333333333333333,30,0.7333333333333333,30,claude
Significance,LLM_40,LLM,0.4,30,1.0,30,claude
Significance,LLM_41,LLM,0.5,30,0.6,30,claude
Significance,LLM_42,LLM,0.6333333333333333,30,0.4666666666666667,30,claude
Significance,LLM_43,LLM,0.48333333333333334,30,0.7666666666666667,30,claude
Significance,LLM_44,LLM,0.5166666666666667,30,0.6333333333333333,30,claude
Significance,LLM_45,LLM,0.4166666666666667,30,0.8,30,claude
Testability,HUM_01,HUM,0.5333333333333333,30,0.9,30,claude
Testability,HUM_02,HUM,0.48333333333333334,30,0.16666666666666666,30,claude
Testability,HUM_03,HUM,0.6333333333333333,30,0.7666666666666667,30,claude
Testability,HUM_04,HUM,0.5333333333333333,30,0.06666666666666667,30,claude
Testability,HUM_05,HUM,0.3333333333333333,30,0.4666666666666667,30,claude
Testability,HUM_06,HUM,0.5166666666666667,30,0.5333333333333333,30,claude
Testability,HUM_07,HUM,0.6833333333333333,30,0.9333333333333333,30,claude
Testability,HUM_08,HUM,0.5333333333333333,30,0.8333333333333334,30,claude
Testability,HUM_09,HUM,0.4,30,0.3,30,claude
Testability,HUM_10,HUM,0.43333333333333335,30,0.8666666666666667,30,claude
Testability,HUM_11,HUM,0.5666666666666667,30,0.9,30,claude
Testability,HUM_12,HUM,0.48333333333333334,30,1.0,30,claude
Testability,HUM_13,HUM,0.5,30,0.9333333333333333,30,claude
Testability,HUM_14,HUM,0.5666666666666667,30,0.13333333333333333,30,claude
Testability,HUM_15,HUM,0.48333333333333334,30,0.6666666666666666,30,claude
Testability,HUM_16,HUM,0.48333333333333334,30,0.16666666666666666,30,claude
Testability,HUM_17,HUM,0.55,30,0.6,30,claude
Testability,HUM_18,HUM,0.5833333333333334,30,0.5,30,claude
Testability,HUM_19,HUM,0.45,30,0.6,30,claude
Testability,HUM_20,HUM,0.45,30,0.13333333333333333,30,claude
Testability,HUM_21,HUM,0.5,30,0.9,30,claude
Testability,HUM_22,HUM,0.48333333333333334,30,0.8,30,claude
Testability,HUM_23,HUM,0.65,30,0.8333333333333334,30,claude
Testability,HUM_24,HUM,0.5333333333333333,30,0.9666666666666667,30,claude
Testability,HUM_25,HUM,0.6666666666666666,30,0.9333333333333333,30,claude
Testability,HUM_26,HUM,0.36666666666666664,30,0.8333333333333334,30,claude
Testability,HUM_27,HUM,0.5666666666666667,30,0.7333333333333333,30,claude
Testability,HUM_28,HUM,0.48333333333333334,30,0.13333333333333333,30,claude
Testability,HUM_29,HUM,0.5333333333333333,30,0.36666666666666664,30,claude
Testability,HUM_30,HUM,0.5666666666666667,30,0.9333333333333333,30,claude
Testability,HUM_31,HUM,0.4,30,1.0,30,claude
Testability,HUM_32,HUM,0.23333333333333334,30,0.7666666666666667,30,claude
Testability,HUM_33,HUM,0.4666666666666667,30,0.06666666666666667,30,claude
Testability,HUM_34,HUM,0.5,30,0.9333333333333333,30,claude
Testability,HUM_35,HUM,0.45,30,0.8666666666666667,30,claude
Testability,HUM_36,HUM,0.5333333333333333,30,0.9666666666666667,30,claude
Testability,HUM_37,HUM,0.45,30,0.9,30,claude
Testability,HUM_38,HUM,0.38333333333333336,30,0.8666666666666667,30,claude
