cluster_id,txt_title,txt_year,"Times Cited, WoS Core",TCperYear,Abstract
0,A global analysis of the impacts of urbanization on bird and plant diversity reveals key anthropogenic drivers,2014,1285,98.84615385,"Urbanization contributes to the loss of the world's biodiversity and the homogenization of its biota. However, comparative studies of urban biodiversity leading to robust generalities of the status and drivers of biodiversity in cities at the global scale are lacking. Here, we compiled the largest global dataset to date of two diverse taxa in cities: birds (54 cities) and plants (110 cities). We found that the majority of urban bird and plant species are native in the world's cities. Few plants and birds are cosmopolitan, the most common being Columba livia and Poa annua. The density of bird and plant species (the number of species per km(2)) has declined substantially: only 8% of native bird and 25% of native plant species are currently present compared with estimates of non-urban density of species. The current density of species in cities and the loss in density of species was best explained by anthropogenic features (landcover, city age) rather than by non-anthropogenic factors (geography, climate, topography). As urbanization continues to expand, efforts directed towards the conservation of intact vegetation within urban landscapes could support higher concentrations of both bird and plant species. Despite declines in the density of species, cities still retain endemic native species, thus providing opportunities for regional and global biodiversity conservation, restoration and education."
0,Urbanization drives cross-taxon declines in abundance and diversity at multiple spatial scales,2020,252,36,"The increasing urbanization process is hypothesized to drastically alter (semi-)natural environments with a concomitant major decline in species abundance and diversity. Yet, studies on this effect of urbanization, and the spatial scale at which it acts, are at present inconclusive due to the large heterogeneity in taxonomic groups and spatial scales at which this relationship has been investigated among studies. Comprehensive studies analysing this relationship across multiple animal groups and at multiple spatial scales are rare, hampering the assessment of how biodiversity generally responds to urbanization. We studied aquatic (cladocerans), limno-terrestrial (bdelloid rotifers) and terrestrial (butterflies, ground beetles, ground- and web spiders, macro-moths, orthopterans and snails) invertebrate groups using a hierarchical spatial design, wherein three local-scale (200 m x 200 m) urbanization levels were repeatedly sampled across three landscape-scale (3 km x 3 km) urbanization levels. We tested for local and landscape urbanization effects on abundance and species richness of each group, whereby total richness was partitioned into the average richness of local communities and the richness due to variation among local communities. Abundances of the terrestrial active dispersers declined in response to local urbanization, with reductions up to 85% for butterflies, while passive dispersers did not show any clear trend. Species richness also declined with increasing levels of urbanization, but responses were highly heterogeneous among the different groups with respect to the richness component and the spatial scale at which urbanization impacts richness. Depending on the group, species richness declined due to biotic homogenization and/or local species loss. This resulted in an overall decrease in total richness across groups in urban areas. These results provide strong support to the general negative impact of urbanization on abundance and species richness within habitat patches and highlight the importance of considering multiple spatial scales and taxa to assess the impacts of urbanization on biodiversity."
0,Land use and avian species diversity along an urban gradient,1996,1076,34.70967742,"I examined the distribution and abundance of bird species across an urban gradient, and concomitant changes in community structure, by censusing summer resident bird populations at six sites in Santa Clara County, California (all former oak woodlands). These sires represented a gradient of urban land use that ranged from relatively undisturbed to highly developed, and included a biological preserve, recreational area, golf course, residential neighborhood, office park, and business district. The composition of the bird community shifted from predominantly native species in the undisturbed area to invasive and exotic species in the business district. Species richness, Shannon diversity, and bird biomass peaked at moderately disturbed sites. One or more species reached maximal densities in each of the sites, and some species were restricted to a given site. The predevelopment bird species (assumed to be those found at the most undisturbed site) dropped out gradually as the sites became more urban. These patterns were significantly related to shifts in habitat structure that occurred along the gradient, as determined by canonical correspondence analysis (CCA) using the environmental variables of percent land covered by pavement, buildings, lawn, grasslands, and trees or shrubs. I compared each formal site to four additional sites with similar levels of development within a two-county area to verify that the bird communities at the formal study sites were representative of their land use category."
0,"Invasion, competition, and biodiversity loss in urban ecosystems",2010,436,25.64705882,"The global decline in biodiversity as a result of urbanization remains poorly understood. l-Whereas habitat destruction accounts for losses at the species level, it may not explain diversity loss at the community level, because urban centers also attract synanthropic species that do not necessarily exist in wildlands. Here the suggest an alternative framework jot understanding this phenomenon: the competitive exclusion of native, non-synanthropic species by invasive species. We use data from two urban centers (Phoenix and Baltimore) and two taxa (birds and spiders) to link diversity loss with reduced community evenness among species in urban communities. This reduction in evenmess may be caused by a minority of invasive species dominating the majority of the resources, consequently excluding nonsynanthropic species that could otherwise adapt to urban conditions. We use foraging efficiency as a mechanism to explain the loss of diversity Thus, to understand the effects of habitat conversion oil biodiversity, and to sustain species-rich communities, future research should give more attention to interspecific interactions ill urban settings."
0,Urbanisation tolerance and the loss of avian diversity,2014,332,25.53846154,"Urbanisation is considered an important driver of current biodiversity loss, but the underlying causes are not fully understood. It is generally assumed that this loss reflects the fact that most organisms do not tolerate well the environmental alterations associated with urbanisation. Nevertheless, current evidence is inconclusive and the alternative that the biodiversity loss is the result of random mechanisms has never been evaluated. Analysing changes in abundance between urbanised environments and their nonurbanised surroundings of > 800 avian species from five continents, we show here that although random processes account for part of the species loss associated with urbanisation, much of the loss is associated with a lack of appropriate adaptations of most species for exploiting resources and avoiding risks of the urban environments. These findings have important conservation implications because the extinction of species with particular features should have higher impact on biodiversity and ecosystem function than a random loss."
1,The use of gradient analysis studies in advancing our understanding of the ecology of urbanizing landscapes: current status and future directions,2008,402,21.15789474,"Over the past decade, the urban-rural gradient approach has been effectively used to study the ecology of cities and towns around the world. These studies have focused on understanding the distribution of plants and animals as well as ecosystem processes along gradients of urbanization that run from densely urbanized inner city to more rural exurban environments. We reviewed 300 papers investigating urbanization gradients that were published in peer-reviewed journals between 1990 and May 2007. Sixty-three percent of the papers investigated the distribution of organisms along urbanization gradients. Only five papers addressed the measures used to quantify the urbanization gradient itself. Within the papers addressing the distribution of organisms, 49% investigated the responses of birds to urbanization gradients, and < 10% of the papers investigated more cryptic organisms. Most of these studies utilized a variety of broad measures of urbanization, but future advances in the field will require the development of some standardized broad measures to facilitate comparisons between cities. More specific measures of urbanization can be used to gain a mechanistic understanding of species and ecosystem responses to urbanization gradients. While the gradient approach has made a significant contribution to our understanding of the ecology of cities and towns, there is now a need to address our current knowledge gaps so that the field can reach its full potential. We present two examples of research questions that demonstrate how we can enhance our understanding of urbanization gradients, and the ecological knowledge that we can obtain from them."
1,Non-linearities in bird responses across urbanization gradients: A meta-analysis,2018,129,14.33333333,"Urbanization is one of the most extreme forms of environmental alteration, posing a major threat to biodiversity. We studied the effects of urbanization on avian communities via a systematic review using hierarchical and categorical meta-analyses. Altogether, we found 42 observations from 37 case studies for species richness and 23 observations from 20 case studies for abundance. Urbanization had an overall strong negative effect on bird species richness, whereas abundance increased marginally with urbanization. There was no evidence that city size played a role in influencing the relationship between urbanization and either species richness or abundance. Studies that examined long gradients (i.e. from urban to rural) were more likely to detect negative urbanization effects on species richness than studies that considered short gradients (i.e. urban vs. suburban or urban vs. rural areas). In contrast, we found little evidence that the effect of urbanization on abundance was influenced by gradient length. Effects of urbanization on species richness were more negative for studies including public green spaces (parks and other amenity areas) in the sampled landscapes. In contrast, studies performed solely in the urban matrix (i.e. no green spaces) revealed a strong positive effect on bird abundance. When performing subset analyses on urban-suburban, suburban-rural and suburban-natural comparisons, species richness decreased from natural to urban areas, but with a stronger decrease at the urban-suburban interface, whereas bird abundance showed a clear intermediate peak along the urban-rural gradient although abundance in natural areas was comparable to that in suburban areas. This suggests that species loss happens especially at the urban-suburban interface, and that the highest abundances occur in suburban areas compared to urban or rural areas. Thus, our study shows the importance of suburban areas, where the majority of birds occur with fairly high species richness."
1,Avian assemblages along a gradient of urbanization in a highly fragmented landscape,2004,282,12.26086957,"Our goal was to evaluate how avian assemblages varied along a gradient of urbanization in the highly fragmented landscape of coastal southern California. We measured species richness and abundance of birds within continuous blocks of habitat, within urban habitat fragments that varied in landscape and local habitat variables, and within the urban matrix at different distances from the wildland interface. These comparisons allowed us to characterize patterns of avifaunal response to a gradient of urban fragmentation. At the fragment scale, we found that fragment area was a strong, positive predictor of the total number of breeding species detected per fragment; total bird abundance per point count also increased with fragment size. Tree cover was higher in small fragments, as was the abundance of birds that typically occupy wooded habitats. Comparisons between core, fragment, and urban transects revealed differing patterns of response of individual bird species to urbanization. In unfragmented habitat, we recorded a relatively high diversity of urbanization-sensitive birds. In urban transects, these species were rare, and a relatively few species of non-native and anthropophilic birds were common. These urbanization-enhanced birds were also recorded in previous urban gradient studies in northern California and Ohio. Bird communities along the urban gradient reached their highest richness and abundance in fragments. The marked difference in vegetation structure between urban and natural landscapes in this arid shrubland system likely contributed to this pattern; the presence of native shrubs and exotic trees in fragments enabled both shrub and arboreal nesters to co-occur. As is characteristic of biotic homogenization, urban fragmentation in coastal southern California may increase local diversity but decrease overall regional avifaunal diversity. (C) 2003 Elsevier Ltd. All rights reserved."
1,Birds and butterflies along an urban gradient: Surrogate taxa for assessing biodiversity?,1999,321,11.46428571,"This study examines whether birds and butterflies may be used as surrogates for one another in assessing biodiversity at the community level. To do this, I compared the distribution and abundance of bird and butterfly species across an urban gradient by surveying six sites near Pale Alto, California, USA (all former oak woodlands) to see if these taxa have responded similarly to urbanization. The sites represent a gradient of urban land use ranging from relatively undisturbed to highly developed and include nature preserves, recreational areas, golf courses, residential neighborhoods, office parks, and business districts. At the community level, the two taxa displayed similar patterns across the gradient: species richness and Shannon diversity peak at intermediate levels of development, and the oak-woodland species gradually drop out at more developed sites. These measures are highly correlated between the two groups. The two taxa differed in their patterns of total abundance, however. Butterfly abundance was highest at the preserve and decreased as the sites became more urbanized, while bird abundance peaked at a site of intermediate development. These results suggest that, on spatial scales from 1 to 10 km, the two taxa display similar patterns with regard to urbanization and that one group can be used to infer the response of the other in assessing biodiversity with these measures at the community level."
1,The value of small urban greenspaces for birds in a Mexican city,2011,169,10.5625,"We explore bird communities in different types of small urban greenspaces (<2 ha) in order to understand which birds occupy these structures, and the habitat and landscape features that affect them. In particular we analyzed how greenspace characteristics (size and vegetation structure), those of the adjacent landscape (area covered by urban structures and vegetation), and human disturbance variables (traffic of pedestrians, vehicles and noise levels) affected bird species richness, abundance and community composition (during summer and winter) in the city of Pachuca, Mexico. We selected 19 small greenspaces (ranging from 0.1 to 2 ha), including public parks, gardens and road strip corridors. We registered 39 species of birds of which 15 were migratory. In general bird species richness was higher in parks and gardens, and lower in road strip corridors, where more noise and traffic was registered. Greenspace area was the most important variable that positively influenced bird species richness, for both the summer and the winter communities. Summer bird species richness was lower in places that had a greater percentage of area covered by buildings in the adjacent landscape. Generalist and opportunistic species were favored by urbanization. Insectivorous species in winter were more abundant in larger greenspaces that had taller trees and more tree and shrub species, and in sites with more vegetative cover in the adjacent landscape. We suggest some management and urban planning actions that would benefit birds within many Latin American cities, where small greenspaces are often the only available refuges for birds. (C) 2011 Elsevier B.V. All rights reserved."
